id,gene,chr,fpos,tpos,strand,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50
cg00000000,Gene3197,16,12878198,12878198,-,0.7,0.03,0.1,0.4,0.73,0.83,0.39,0.25,0.27,NA,0.53,0.69,0.14,0.15,0.5,0.0,0.45,0.42,0.96,NA,0.88,0.2,0.41,0.88,0.16,0.06,0.51,0.2,0.07,0.1,0.44,0.42,0.49,0.08,0.68,0.4,0.93,0.76,0.5,0.73,0.57,0.19,0.81,0.36,0.2,NA,0.81,NA,0.78,0.07
cg00000001,Gene1733,17,27726279,27726279,-,0.26,0.82,0.47,0.53,0.44,0.25,0.84,0.34,0.47,0.25,0.59,0.12,0.99,0.47,0.12,0.38,0.96,0.24,0.22,0.61,0.46,0.93,0.13,0.96,0.65,0.32,0.09,0.76,0.26,0.02,0.05,0.18,0.36,0.58,0.52,0.48,0.83,0.01,0.28,0.95,0.95,0.38,0.07,0.19,0.37,0.4,0.26,0.89,0.53,0.93
cg00000002,Gene1797,5,94068184,94068184,-,0.17,0.72,NA,0.37,0.76,0.46,0.26,0.27,0.58,0.45,0.22,0.53,0.77,0.87,0.25,0.41,0.41,0.7,0.81,0.26,0.37,0.13,0.87,0.15,0.73,0.57,0.46,0.48,0.92,0.47,0.3,0.68,0.4,0.52,0.78,0.58,0.43,0.57,0.67,0.36,0.65,0.97,0.04,0.98,0.07,0.89,0.07,0.25,0.04,0.2
cg00000003,Gene418,7,28812743,28812743,-,0.51,0.11,0.73,0.73,0.65,0.01,0.58,0.5,0.41,0.57,0.75,NA,NA,0.64,0.16,0.51,0.13,0.7,0.7,0.66,0.73,0.5,0.95,0.42,0.5,0.71,0.21,0.96,0.93,0.82,0.37,0.92,0.34,0.93,0.83,0.15,0.68,0.03,0.79,0.57,0.46,0.95,0.4,0.45,0.23,0.32,0.97,0.12,0.81,0.87
cg00000004,Gene1290,22,25893296,25893296,+,0.61,0.2,0.88,0.98,0.84,0.74,0.15,0.54,0.69,0.43,0.32,0.83,0.46,0.61,0.2,0.95,0.99,0.62,0.7,0.4,0.29,0.61,0.83,0.77,0.79,0.34,0.41,0.77,0.13,0.95,0.16,0.83,0.26,0.76,0.11,0.1,0.76,0.24,0.32,0.61,0.04,0.07,0.39,0.79,0.54,0.63,0.33,0.5,0.28,0.06
cg00000005,Gene1027,22,72135186,72135186,-,NA,0.46,0.14,0.07,0.13,0.2,0.46,0.44,0.91,0.29,0.55,0.96,0.8,0.17,0.93,0.29,0.74,0.32,0.09,0.96,0.48,0.16,0.78,0.8,0.04,0.6,0.24,0.73,0.39,0.93,0.76,0.09,0.28,0.2,0.57,0.74,0.04,0.82,0.44,0.26,0.26,0.29,0.31,1.0,0.6,0.8,0.26,0.42,NA,0.36
cg00000006,Gene1261,3,46179148,46179148,+,0.95,0.28,0.0,0.92,0.17,0.85,0.99,0.3,NA,0.47,0.32,0.07,0.52,0.1,0.28,0.93,0.43,0.13,0.44,0.1,0.19,0.67,0.94,0.34,NA,0.67,0.51,NA,0.7,0.62,0.55,0.86,0.18,0.55,0.14,0.83,0.12,NA,NA,0.45,0.15,0.36,0.09,0.48,0.34,0.77,0.76,0.29,NA,0.15
cg00000007,Gene3149,11,13420621,13420621,+,0.42,0.82,0.77,0.6,0.38,0.27,0.08,0.94,0.43,0.91,0.11,0.89,NA,0.76,0.38,0.55,0.24,0.45,0.12,0.48,0.52,0.04,0.75,0.63,0.93,0.12,0.75,0.58,0.3,0.66,0.32,0.26,0.24,0.93,0.36,0.9,0.13,0.05,0.15,0.5,0.99,0.42,0.49,0.81,0.48,0.98,0.52,0.02,0.47,0.28
cg00000008,Gene1188,18,36885958,36885958,+,0.25,0.92,0.04,0.15,0.39,0.74,0.78,0.56,0.43,0.03,0.43,0.86,0.79,0.27,0.81,0.29,0.48,0.52,0.75,0.18,0.64,0.79,0.39,0.46,0.38,0.91,0.75,0.04,0.49,NA,0.08,0.45,0.22,0.88,0.17,NA,0.1,NA,0.14,0.08,0.47,0.72,0.1,0.04,0.7,0.6,0.11,0.37,0.09,0.27
cg00000009,Gene3579,2,53094981,53094981,+,0.4,0.25,0.8,0.98,0.47,0.8,0.69,0.6,0.31,0.9,0.47,0.52,0.96,0.47,0.9,0.29,1.0,0.14,0.38,0.07,0.79,0.98,0.68,0.63,0.7,0.14,0.9,0.42,0.55,0.28,0.38,0.43,0.83,0.5,0.66,0.1,0.12,0.84,0.27,0.06,0.69,0.85,0.12,0.42,0.14,0.39,0.94,0.89,0.77,0.02
cg00000010,Gene480,15,24531192,24531192,-,0.64,0.14,0.5,0.21,0.89,0.06,0.64,0.55,0.29,0.76,0.66,0.99,0.4,0.61,0.48,0.63,0.51,0.56,NA,0.33,0.7,0.59,0.81,0.84,0.66,0.29,0.54,0.66,NA,0.18,0.62,0.16,0.61,0.22,0.31,0.16,0.16,0.88,0.35,0.79,0.44,0.05,0.71,0.63,0.59,0.94,0.22,0.56,0.19,0.52
cg00000011,Gene2257,9,83522126,83522126,+,0.81,0.82,0.94,0.91,0.65,0.82,0.92,0.95,0.93,0.04,0.63,0.95,0.55,0.44,0.51,0.11,0.24,0.79,0.89,0.1,0.74,0.28,0.34,0.92,0.06,0.87,0.14,0.78,0.23,0.23,0.16,0.44,0.49,0.33,0.3,0.24,0.87,0.1,0.17,0.73,0.15,0.49,0.74,0.42,0.01,0.57,0.66,0.96,0.55,0.6
cg00000012,Gene4946,6,91019285,91019285,+,0.09,0.58,0.4,0.43,0.78,0.89,0.71,0.46,0.18,0.6,0.77,0.28,0.81,0.8,0.45,0.56,0.65,0.86,0.42,0.06,0.45,0.21,0.13,NA,0.1,0.91,0.14,0.33,0.18,0.23,0.58,0.7,0.86,0.88,0.52,0.07,NA,0.41,0.72,0.3,0.71,0.76,0.41,0.66,0.64,0.98,0.09,0.42,0.04,0.01
cg00000013,Gene4018,9,17044295,17044295,-,0.66,0.3,0.17,0.73,0.8,NA,0.75,0.63,0.93,0.31,0.3,0.31,0.09,0.83,0.01,0.06,0.79,0.53,0.74,0.83,0.73,0.42,0.85,0.87,0.55,0.38,0.92,NA,0.01,0.18,0.83,0.13,0.61,0.12,0.03,0.71,0.32,0.91,0.71,0.09,0.12,0.82,0.4,0.46,0.19,0.88,0.6,0.04,0.66,0.91
cg00000014,Gene2685,10,73208615,73208615,-,0.28,0.87,0.95,0.41,0.27,0.35,0.45,0.4,0.76,0.94,NA,NA,0.58,0.83,0.96,0.88,0.13,0.65,0.54,0.77,0.36,0.84,0.43,0.74,0.34,0.8,0.32,0.95,0.1,0.7,0.33,0.37,0.6,0.61,0.6,0.95,0.26,0.34,0.09,0.32,0.47,0.19,0.74,0.63,0.91,0.03,0.52,0.78,0.5,0.56
cg00000015,Gene475,12,27388584,27388584,+,0.15,0.1,0.38,0.54,0.69,0.21,0.34,0.72,0.45,NA,0.98,0.89,0.09,0.09,0.92,0.8,0.34,0.52,0.95,NA,0.51,1.0,0.08,0.77,0.45,0.48,0.13,0.75,0.93,0.93,0.76,0.3,0.18,0.54,0.6,0.83,0.83,0.37,0.79,NA,0.87,0.97,0.19,0.91,0.25,0.97,0.34,0.37,0.98,0.72
